VOTER_ID	PIN_HASH	LASTNAME	FIRSTNAME	MIDDLE	SSN	MAILINGADDRESS	ZIP	SMD	SPLIT
140718785	eae3f2a299c8dd607f3277770ceca779099e3c4b	Lockman	Missouri	P	00000763	100 / 136 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
291924694	6eed3aa09bca0d70596318ea26cdbf9b1c2961df	Davis	Arielle	G	00004080	100 / 137 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
210199161	3c8626d514d256d81ffef43d49a95b39f26d2d17	Lehner	Collin	J	00004470	100 / 138 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
778818617	2b4479b9f0060be2f534b4b08e853fc813e2260f	Ritchie	Vance	R	00002038	100 / 139 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
015496195	d3d3eae3ac0e5bf1192fcbd5a837bd83967d198c	Davis	Harley	J	00001297	100 / 140 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
396577663	966f21cee4260bf96853d041a8d2cab5d3689f82	Greenfelder	Brice	K	00005141	100 / 141 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
907226585	918e0f73b8547951cc4eff4907fd6c0608f42afa	Murphy	Webster	N	00008642	100 / 142 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
712605006	bb7de48f160748632d246cb7319a6e9102a6be14	Von	Davion	C	00008908	100 / 143 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
911348819	cb6697510e3750b5ab6b4d030fb774d660c7691d	McLaughlin	Amely	M	00005200	100 / 144 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
140219936	441d69c3d0a8e0424cc375b19188f2f66993fdec	Lehner	Isobel	S	00007523	100 / 145 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
394625447	1428c30b7ca680521fd3418072df6ecc9076c921	Jaskolski	Lonnie	N	00007456	100 / 146 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
692480123	3bd35c0f88a72fa8bb285159dc3f6b1f182d2ce3	Haley	Carli	K	NULL	100 / 147 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
285182912	0b7470f7faa326cf1c3abae5ebe4890279fee683	Purdy	Buddy	NULL	00007779	100 / 148 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
847556555	4a0b6d948f0b0198f2b79ab2988a508fd6d6e229	Beahan	Cecelia	E	NULL	100 / 149 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
638378745	39616faad351ebb2aa86cb4ce6caf3cb14a66bdc	Murphy	Ernestine	I	00005024	100 / 150 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
655710363	f4186218d2543ae655885720ada67d2aa707e29c	Rempel	Hildegard	N	00004521	100 / 151 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
380365497	874827062a7759de383d71ddbb69b8f913cd755a	Rippin	Ted	NULL	00007738	100 / 152 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
784796541	dace0a37d196d92d72ad00915ee8e6b408463e12	Connelly	Keyon	X	00002818	100 / 153 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
605945000	72b835270050709744b08bdeb8456f3cac9507fe	Tremblay	Belle	X	00000305	100 / 154 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
819261342	c4000e4c3933c6f2bcf17c26778f50d19043e8b2	Lebsack	Alfreda	B	00004708	100 / 155 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
601724900	346ba6b198b981a37e06d91e3fe8faa8000d18fb	Blanda	Elliott	K	NULL	100 / 156 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
325143951	1971ad03926179be80060ba90876362c5bb7c6ae	Hermann	Lillian	D	00002564	100 / 157 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
663253339	450ffc13c34ca1ff9232b22b779f83de58435be7	Jones	Nicholas	I	00008617	100 / 158 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
225534324	5dfe1148e2256d2dd80165800c618c0c69f7fb8b	Hand	Clemens	T	00005050	100 / 159 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
068921064	3bd6fc3e0d3de52802fd5bee2386b732f312cc23	Armstrong	Jarrett	U	00006016	100 / 160 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
117657274	be533c5906ea0bab942328e8ca810130743b248a	Daugherty	Arjun	P	NULL	100 / 161 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
277221279	3953701ba1c5eba518f99f9b79006f8e04457a36	Frami	Newell	U	00008728	100 / 162 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
924216361	146bd53a78b0fe9a17d7a4e3a3a95ec3f9e9cefe	Armstrong	Jevon	Z	00000895	100 / 163 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
398007433	9546893811f6ecfe4cf7203a27bd95eda209d243	Bartoletti	Art	Q	00003516	100 / 164 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
412667592	c7970d3e24d8c3c20cceab4dfcd3e868712f6d10	Reynolds	Korbin	M	00005359	100 / 165 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
679006949	1d733e81a58febdbf018dd9a7029bda458afaccc	Bechtelar	Maudie	L	00007693	100 / 166 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
688609243	e3fa1262be2879b219e24271739c3738fabad70f	Zemlak	Destiney	M	00007246	100 / 167 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
601586770	bf2a4c999067a188f4414e4ba169a96559e5662d	Zemlak	Amalia	Z	00007043	100 / 168 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
538344584	5c8b909ec365995b92a7791255db38068bd0fb22	Greenholt	Madonna	NULL	00006792	100 / 169 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
114974884	e6545993bfef879dcc76a4aa080f62083234b020	Heller	Trevor	Y	00007088	100 / 170 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
330530266	fcf49dbd5d00ce80f8b12b252d4116e2aeb20ebd	Ratke	Bianka	R	00004704	100 / 171 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
582536390	a5b7e721b2f8dfe3aed565e5dc1110e3529772c3	Boyle	Xavier	J	00009229	100 / 172 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
164957066	4f55e6db9f6463556ff7d3271b869abbdffa85c9	West	Moriah	L	00001413	100 / 173 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
501411949	fadd6c40db9775de5ac60b9a9e4833ec83929416	Dicki	Eileen	NULL	00001351	100 / 174 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
596929935	8e1de69a3563056fe04f2b9f1724de3c1676d14b	Nader	Brooks	Y	00001388	100 / 175 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
986881362	9bc4a83ed53bb7ad0008c63cc266832e93628833	Shields	Issac	G	00009514	100 / 176 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
225110497	6db63ad64059f8de80835591fa0d1809b8c063ee	Friesen	Nyah	G	00004004	100 / 177 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
764471590	ff7fc0d65c6e13f2d74cd8a6e0f3ee838ae13816	Collier	Mallory	X	00004785	100 / 178 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
719204853	17c96f69288859037c9917578ba267a38525b1d4	Boyle	Rico	G	00005478	100 / 179 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
438653842	d78a24bc6858042bfcf7b066a5d62fc0329d2c95	Bogisich	Elna	I	NULL	100 / 180 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
123760773	4443680213e346f4c5689c0abfc80db11d992788	Fisher	Jaunita	NULL	00000003	100 / 181 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
616407053	ef71d03627ef7c2355b3403ca1f642723e44ba8d	Wunsch	Mortimer	R	NULL	100 / 182 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
972137534	72377b9ee23c8a5c8b92ccb486977dbf3371ab5b	Maggio	Lauryn	V	00006915	100 / 183 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
954419340	94a81e0dfe19656d77f6ec3391a2be9d860ddae1	Casper	Ludwig	NULL	00006708	100 / 184 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
998582584	10f222aea12ccdb4c691ff916fbd6ac9414f11e9	Anderson	Fabian	NULL	00002036	100 / 185 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
150712544	43037ef5e562b35c449c25caf50dc31b37d3739a	Sporer	Diego	H	00005855	100 / 186 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
627127506	5a185c4813f240f9b782b36e3dd88d6be69b0779	Lueilwitz	Dante	R	00006046	100 / 187 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
642055230	38c9310a15bdd6d946e9f116a4f570f58a704b7d	Halvorson	Hermann	N	00009311	100 / 188 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
448053451	47315fabe2a1579e54cf7545ddee6e0636280648	Schmidt	Greta	E	00006642	100 / 189 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
730893980	c3010faaa9f808dab5c7388114f83569788ccf0b	Veum	Sharon	L	00004129	100 / 190 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
071653824	45aedb73b8e94f811365bbffde31e7ff3737252e	Harvey	Aric	L	NULL	100 / 191 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
377249838	c07e0350c1a9e372ec805085240a4491b8904ae5	Lynch	Florida	H	00007877	100 / 192 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
533308995	a132da914b4f37f5647fdd0b0ba731c510d72c88	Beahan	Estell	A	00007599	100 / 193 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
934473826	520c673e075eab6cf6b2a0fe918a899f63698e81	Waelchi	Angelita	T	00000564	100 / 194 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
574577014	6b7ae9f39d84ce972f40d904598704017487a4a9	Dietrich	Bernhard	NULL	00001350	100 / 195 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
940862055	781e18d7fe1e0d4df29606cef4b0a61efb31b875	Larson	Porter	Y	NULL	100 / 196 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
727549807	b90827070f9b46b26de28b640357ece77b964393	Keeling	Leland	D	00005681	100 / 197 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
188587804	543b799dbea86c61fb8dd6f8208d24bec03e4250	Kozey	Julius	L	NULL	100 / 198 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
720077783	0e53fcfd3c88d8d1843058090f1d612625596440	Kihn	Esther	Z	00002609	100 / 199 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
761259183	58265d4634c2ad1c4a834d1d62fa6e3179eb5e17	Feest	Kyler	J	00003211	100 / 200 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
066109467	f3a72417d75203be95e4e3bc8067fad93dd7820c	Von	Kaylie	O	00005168	100 / 201 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
912800551	ad057bc7d932a88d6a8f93d834d66fe0b20dba61	Torphy	Gunnar	NULL	00006036	100 / 202 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
104614231	746bd2c792a28ab44fe9134dbc3bd4010460400c	Hauck	Adell	W	00009232	100 / 203 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
835274404	feb94f9c6a95b5877a2c450c4a693fb89a688b33	Walsh	Gene	K	00007898	100 / 204 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
569416344	d6e9a7c2cadac3981b7a0bd996e833bcd19751ea	Mayer	Barbara	NULL	00002737	100 / 205 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
359966237	b7ea473edc4d855c3facf478688e1658d5966491	Purdy	Bulah	W	00002217	100 / 206 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
284076320	ff8bf340418d72da6f59a3c91c91c3134ebad657	Stoltenberg	Faye	E	00006481	100 / 207 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
244361767	abcbcf3c3f3880c9511b6880d62ff53d7d27ab9e	Reilly	Giovanny	A	00000106	100 / 208 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
888704444	5682473024b4b97e0c3bb947bb7d86de8f0b3d2f	Armstrong	Joyce	K	00009449	100 / 209 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
697856254	68c80bd251c6415bc4d14ae59f44787b7d3e2d47	Konopelski	Lauryn	N	00009175	100 / 210 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
557676877	ed75586bdc73afd6397f11edcee66cdb8559b444	Wilkinson	Keven	W	00004593	100 / 211 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
157549798	abfcf1b7d812484bf27cd119f1ff01376730bf09	Dach	Turner	N	00002219	100 / 212 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
735902640	18b68d22eb697f31ee36e0157a34ab51399b2704	Stark	Adolfo	Y	00002924	100 / 213 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
848239106	deabb6ece56d227a829c98317dde48a612b35785	Barrows	Jordyn	F	00008301	100 / 214 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
717607545	65181f2523191666ed9a5e2e3ccc67001be94c00	Predovic	Merle	A	00005382	100 / 215 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
439676363	0b32795632bed428ac5e3aa2844b545501f9c5d2	Schiller	Macy	X	00009377	100 / 216 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
906677571	849d83e542eda3993e394c102fa0fa2b24bd364c	Howe	Judah	F	00003836	100 / 217 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
813239389	11c3cd3d84b1abf8ac7b1fe8dcf7820f1e5b9612	Rowe	Ellen	Y	00007639	100 / 218 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
695156022	a2d2a0f0998e435d4ea9c1ce0f271aa564a1c658	Steuber	Jesse	M	NULL	100 / 219 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
049658688	20b34835d58d7c01ab80e744d793962ad1b709ce	Zieme	Kylee	Q	00001611	100 / 220 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
739566625	2840ce9f7a2ad119e238073c332df2c26ce5a3a1	Hodkiewicz	Jakob	U	00009088	100 / 221 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
495401607	990217909b7d9408c3a1c185d087387862a8c259	Haley	Dorthy	V	00002594	100 / 222 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
707105807	541292d01c1641ec76c5b69bad7bd9bd34843bb6	Murazik	Raleigh	H	00002156	100 / 223 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
412258449	a37c374191784a1afb912cba7ab2fd6a29da62d7	Pagac	Kenton	NULL	00004993	100 / 224 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
891196117	143c81017f9e45adc5e2fa9f4a18b20777b026c1	Eichmann	Jaeden	NULL	00000349	100 / 225 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
547764977	b2f7a88be10103b59597008885f53b1562a1f7ba	Kemmer	Serena	L	00001403	100 / 226 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
523701812	ed78ab015ce837410800be1085c218a0c53f8f38	Mills	Clemens	NULL	NULL	100 / 227 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
416651776	95b22c1889af47f3c3e832625c1229494d540d4f	Kub	Tiffany	H	00004773	100 / 228 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
941163783	36a7fab751f2c3866017fe341e7eebe5eeadab4e	Okuneva	Tanner	E	NULL	100 / 229 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
969797182	3edf19d877ca021625bb7f4981b0c77efdc7511d	Connelly	Verda	V	00000934	100 / 230 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
467203003	a553ebac5b41de01a4331d2fc57516b9d427f66e	Hettinger	Anais	U	00006711	100 / 231 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
942252410	9209b733bd8a01b1f69c194d93b09a0fc7a95db1	Kunze	Elbert	W	NULL	100 / 232 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
870416109	fb458da075a201892cd96a6fabe10de26fd615b8	Pagac	Elliott	Q	00005032	100 / 233 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
654979015	1fd85e122697261aae45582183b0075e62853421	Harvey	Mack	V	00009703	100 / 234 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
157483540	f769ee501a607cefcfd4048c35cbbf3de086eed4	Schulist	Gillian	S	00002659	100 / 235 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
560108351	d11806f9309ee34195c41cd19c7c7ed2ca56a136	Turner	Jovany	I	00001836	100 / 236 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
623979330	032b774f7e7914dcc56da49e183bd026843e4642	Stiedemann	Alfredo	P	NULL	100 / 237 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
777886579	412a42914908b3793025db76c63700908f01b3be	Gorczany	Ariel	L	00007458	100 / 238 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
616897666	9473dd4185c1a66f7944d5ea03a4f35d54a7fdc5	Daugherty	Lottie	M	00000944	100 / 239 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
694549854	a604f6242e0ba0a244101e4f960b3b45dcf26929	Robel	Jules	W	00002038	100 / 240 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
768110991	c400f7acd48f6af7835ad1c6821f827d69bfa3ee	Keebler	Kacey	B	00000383	100 / 241 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
904378556	04ffc81b41700768895d214f429a5c441850dca4	Will	Cielo	Z	00009909	100 / 242 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
079981367	edb56c135034234785c0b8474ce1c027d74acaaa	Roberts	Jamal	G	00006156	100 / 243 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
353654104	ebb9b4970dd6d4a7c37b4616413c63b33ae1475f	Hansen	Bertram	NULL	00002266	100 / 244 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
738540206	a11887ebcfb94a7c19b668e674a45c04adc320f8	Waters	Janae	K	00002110	100 / 245 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
845650495	c2287f813bfef24952588b6e40ba4a4de8ea1527	Franecki	Ulices	I	00001744	100 / 246 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
024076701	a3bd50af6c13aee257e9d69f55fa551f0cf65007	Hintz	Javon	NULL	00002987	100 / 247 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
926211804	67974a3c97e13223a1148420c7cff2b932bd60cd	Orn	Billy	P	00000851	100 / 248 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
651774454	4004eaa9563b46d12a47913a0c7048df8b028f6a	Nolan	Penelope	Z	NULL	100 / 249 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
313038230	bc645d0d617385d46ec9169b6f02953988e32264	Gislason	Emmitt	O	00001200	100 / 250 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
356435888	6567da02205d785ef38b971256aed66f27d15993	Johnston	Brielle	C	00001803	100 / 251 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
009101358	32f608f03431353fe0baac859762616f8c364ffd	Haley	Cassie	W	00009024	100 / 252 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
236325939	76c4cf07ec81a5ccf08bc30bb5ced0cb316c53c1	Zulauf	Mallie	N	00007022	100 / 253 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
749921589	310672bed758f86bce796aa11ce285f7e22a1a44	Hauck	Jeffrey	NULL	00007028	100 / 254 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
431446292	45ea82c53f4f9af3e94e10e37c6bb67311a9d19c	Howell	Alfonzo	X	00005715	100 / 255 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
279832240	918b46b8a5c266da161915c9711b8a706d9624de	Roob	Dolly	K	00001921	100 / 256 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
375841285	89c04a694c2b48080d54971ea786e6fa814bc7f3	Mraz	Dwight	H	00009027	100 / 257 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
310118032	a012affaed9c31df05d8d6d329cec6de7347db77	Hettinger	Elvie	P	00004187	100 / 258 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
336977843	a0df482f056cdbd80c6dbe38646621cf63a1bd2a	Hauck	Kevin	O	00008141	100 / 259 LYTTON AVE, WASHINGTON DC 20009	20009	1B04	22 00
